timestamp_s,motor_id,temp_c,rpm,battery_voltage_v,battery_current_a,phase_u_back_emf_v,phase_v_back_emf_v,phase_w_back_emf_v,phase_u_current_a,phase_v_current_a,phase_w_current_a,vibration_x_g,vibration_y_g,vibration_z_g,fault_type,rul_minutes
68.000000,motor_3,66.16218,2944.98059,68.39373,48.49024,-0.03784,-26.46466,25.41043,0.19131,-24.15415,22.95401,0.0116406,0.0492264,-0.0445751,winding_short,67.677
68.002500,motor_3,66.79484,2941.50846,68.41798,49.60937,1.65707,25.71350,-26.17033,2.26473,23.59765,-24.32486,0.0361171,0.0181907,0.0203939,winding_short,67.677
68.005000,motor_3,66.60925,2939.44092,68.55518,49.46523,-2.72704,-24.62838,26.69420,-3.94801,-22.64593,24.23792,0.0309746,0.0178676,0.0168403,winding_short,67.677
68.007500,motor_3,66.52218,2944.84023,68.39520,49.22421,4.33247,23.52813,-27.66996,5.30525,21.32591,-24.74922,0.0274792,0.0022304,0.0048806,winding_short,67.677
68.010000,motor_3,66.59004,2941.70748,68.49821,49.56203,-5.99608,-22.10743,28.51615,-8.12515,-20.09923,25.45198,-0.0154853,-0.0431019,-0.0232908,winding_short,67.677
68.012500,motor_3,66.05080,2951.92940,68.44574,48.24593,7.28360,20.78020,-28.81690,9.72317,18.86838,-24.92027,0.0020455,-0.0821201,0.0502857,winding_short,67.677
68.015000,motor_3,66.52306,2946.60397,68.20853,49.36083,-8.83842,-19.89518,29.14088,-11.96080,-17.98924,26.63097,-0.1417375,-0.0928308,-0.0225747,winding_short,67.677
68.017500,motor_3,66.64526,2951.99573,68.31592,49.54876,10.30704,18.30094,-29.53302,13.45394,17.02752,-26.13644,-0.0379901,-0.0296330,-0.0079292,winding_short,67.677
68.020000,motor_3,66.59890,2945.95362,68.32031,49.18117,-11.27944,-16.74506,29.19962,-15.25171,-15.21078,26.51535,-0.0647852,-0.0116197,-0.0449099,winding_short,67.677
68.022500,motor_3,66.18834,2951.82277,68.22180,48.23435,13.03003,15.02766,-29.48290,17.19811,13.94442,-25.76714,0.0788921,-0.0239479,0.0205605,winding_short,67.677
68.025000,motor_3,66.44806,2955.40137,68.30285,49.19002,-13.96016,-13.62817,29.84131,-18.96868,-12.24154,25.67918,-0.0622816,-0.0786852,-0.0030353,winding_short,67.677
68.027500,motor_3,66.48448,2947.58340,68.05134,49.62514,14.86870,11.58451,-29.19284,21.57423,10.29578,-25.68328,0.0986020,-0.0551591,0.0515308,winding_short,67.677
68.030000,motor_3,66.25397,2955.43512,68.29186,48.47748,-16.19858,-9.87248,28.99046,-21.90455,-8.75774,25.22796,-0.0719744,-0.0956378,-0.0226063,winding_short,67.677
68.032500,motor_3,66.50145,2947.84695,68.11796,49.34256,17.62110,8.07314,-28.74509,24.10977,8.12817,-25.33506,0.0388138,-0.1033988,0.0423059,winding_short,67.677
68.035000,motor_3,66.23194,2946.40990,68.31048,48.64851,-18.69534,-6.46691,27.77500,-24.90152,-5.98127,24.76728,-0.0975294,-0.1080939,-0.0309097,winding_short,67.677
68.037500,motor_3,66.75881,2941.87120,68.58892,49.43843,19.66744,4.64126,-27.29843,26.49875,4.08273,-24.21767,0.0621958,-0.0820448,0.0049413,winding_short,67.677
68.040000,motor_3,66.71999,2942.65958,68.42787,50.10169,-20.14530,-2.86363,26.79604,-27.95838,-2.39383,24.30425,-0.0994709,-0.0371633,-0.0769139,winding_short,67.677
68.042500,motor_3,66.36166,2949.11932,68.31603,49.02758,21.03994,0.99842,-26.00727,28.99340,0.97018,-22.64514,0.0896581,-0.0329936,0.0750866,winding_short,67.677
68.045000,motor_3,66.63655,2950.78012,68.36833,49.44497,-21.85189,0.94698,25.28958,-29.93225,0.85062,22.07946,-0.0394475,-0.0516688,-0.0280954,winding_short,67.677
68.047500,motor_3,66.80261,2939.68004,68.17302,50.34583,22.55825,-2.78170,-24.25816,31.27683,-2.30137,-21.68096,0.1669630,-0.0752228,0.0287184,winding_short,67.677
68.050000,motor_3,66.49729,2943.50872,68.24652,49.38457,-22.80645,4.27225,22.92482,-31.20379,4.14522,20.00355,-0.1457748,-0.1188812,-0.0699445,winding_short,67.677
68.052500,motor_3,66.72076,2944.99539,68.61015,49.58108,23.63388,-6.42990,-22.14426,32.64498,-6.12082,-19.39722,0.0807135,-0.0748350,0.0833817,winding_short,67.677
68.055000,motor_3,66.43087,2932.79867,68.30118,49.66472,-24.05403,8.10179,20.40392,-32.78230,7.65664,18.43206,-0.1394830,-0.0683591,-0.0433174,winding_short,67.677
68.057500,motor_3,66.98205,2945.22990,68.20204,50.27741,24.56730,-9.93505,-19.80327,33.54501,-8.99876,-17.22346,0.0273146,-0.0115990,0.0609949,winding_short,67.677
68.060000,motor_3,66.61615,2947.93020,68.28575,49.46257,-24.52232,11.82400,18.13984,-33.21258,10.76799,16.32753,-0.1381813,-0.0164534,-0.1003122,winding_short,67.677
68.062500,motor_3,66.23863,2935.83843,68.53418,48.22717,24.51665,-13.09364,-16.20177,33.59679,-12.09662,-14.83083,0.1345504,0.0603940,0.0317843,winding_short,67.677
68.065000,motor_3,66.73308,2945.80745,68.42529,49.91745,-24.86471,15.02528,15.40576,-34.31138,14.06105,13.08375,-0.0922294,0.0020166,-0.0392712,winding_short,67.677
68.067500,motor_3,66.04701,2933.33123,68.27237,48.09688,24.80954,-16.82115,-13.71249,33.38754,-14.77187,-12.19528,0.1785268,0.0306474,0.0327504,winding_short,67.677
68.070000,motor_3,66.78724,2953.39590,68.31419,49.91477,-25.02526,18.16798,12.29021,-34.01852,16.66173,10.44956,-0.1371615,0.0011124,-0.0843744,winding_short,67.677
68.072500,motor_3,66.58665,2942.60276,68.44149,49.55979,24.56491,-19.50152,-10.29187,33.36545,-18.06178,-9.48471,0.1103410,0.0149701,0.1076043,winding_short,67.677
68.075000,motor_3,66.74723,2936.18282,68.19078,49.77599,-24.41029,20.95653,9.13486,-33.63500,19.71340,8.12284,-0.1448585,-0.0106819,-0.0248014,winding_short,67.677
68.077500,motor_3,66.92286,2951.55715,68.20078,50.20761,23.63937,-22.44764,-7.10525,33.36747,-20.67082,-6.33847,0.0508506,-0.0019953,0.0473918,winding_short,67.677
68.080000,motor_3,66.43842,2945.94601,68.30012,49.32133,-23.39317,23.49459,5.22523,-31.89317,21.71020,4.67936,-0.1076973,0.0804988,-0.1084003,winding_short,67.677
68.082500,motor_3,66.47790,2944.19991,68.23815,49.25791,22.94839,-24.90069,-3.51904,31.09653,-22.25362,-2.90413,0.1214543,0.1103325,0.0399275,winding_short,67.677
68.085000,motor_3,66.70620,2946.30900,68.27871,49.94475,-22.27790,25.58983,2.01768,-30.62746,23.74256,1.95724,-0.0960183,0.0782782,-0.0509951,winding_short,67.677
68.087500,motor_3,66.65887,2949.15344,68.39250,49.67697,21.84376,-26.46583,0.17826,29.44448,-24.17150,-0.23748,0.1549352,0.0844662,0.0107091,winding_short,67.677
68.090000,motor_3,66.15759,2941.39649,68.31900,48.23861,-20.45665,27.31907,-1.52128,-27.61486,24.68717,-1.09643,-0.1002609,0.0500939,-0.0724838,winding_short,67.677
68.092500,motor_3,66.37017,2941.45082,68.32461,49.43257,19.98864,-28.29690,3.62186,27.26134,-25.95766,3.25162,0.1049202,0.0433764,0.0595409,winding_short,67.677
68.095000,motor_3,66.45889,2933.28254,68.44488,49.11691,-18.64399,28.70216,-5.27079,-25.63390,26.36173,-4.81686,-0.1329473,0.0268389,-0.0172435,winding_short,67.677
68.097500,motor_3,66.58468,2938.80257,68.36935,49.79337,17.78246,-29.29437,6.83890,24.88060,-27.71107,6.09634,0.0510152,0.0835896,0.0320992,winding_short,67.677
68.100000,motor_3,66.52177,2952.41709,68.01381,48.91516,-17.25479,30.11678,-8.65625,-23.13077,27.17653,-7.43070,-0.0971724,0.0412218,-0.0463090,winding_short,67.677
68.102500,motor_3,66.57508,2938.62746,68.48008,49.34223,15.71449,-30.63283,10.33581,21.45259,-27.84550,9.57434,0.0969190,0.1012863,0.0450024,winding_short,67.677
68.105000,motor_3,66.43120,2936.79031,68.47545,49.09805,-14.75525,30.49219,-11.91104,-19.68587,27.98157,-10.56765,-0.0410325,0.1129850,-0.0503002,winding_short,67.677
68.107500,motor_3,66.62720,2932.87529,68.22122,49.54471,13.67174,-30.45688,12.98018,18.37741,-28.16195,11.77813,0.1377014,0.1094387,-0.0138240,winding_short,67.677
68.110000,motor_3,66.72641,2937.13195,68.42556,49.64689,-12.22330,30.63109,-15.06217,-16.37788,27.86865,-13.56358,-0.0231644,0.0422532,-0.0696688,winding_short,67.677
68.112500,motor_3,66.32176,2942.97489,68.36118,48.54497,11.30910,-30.91616,16.39202,14.86480,-27.38460,14.83362,0.0792874,-0.0448122,0.0392263,winding_short,67.677
68.115000,motor_3,66.44180,2947.45975,68.38016,49.68418,-9.61266,30.59457,-17.52522,-12.59958,28.45018,-16.55143,-0.0771949,0.0081772,0.0057201,winding_short,67.677
68.117500,motor_3,66.93731,2953.02654,68.23987,50.25946,8.27217,-30.52295,19.50407,11.20031,-28.18779,17.64881,-0.0099575,0.0562012,0.0352685,winding_short,67.677
68.120000,motor_3,66.29605,2941.38862,68.45681,48.73570,-6.60068,29.75248,-20.35697,-9.01756,26.73244,-18.70822,-0.0428212,0.0871994,0.0010352,winding_short,67.677
68.122500,motor_3,66.71646,2954.69622,68.32083,49.75469,5.28770,-29.16518,22.11387,6.55136,-26.88532,19.48074,0.0215541,0.0537820,0.0397019,winding_short,67.677
68.125000,motor_3,66.65215,2943.06614,68.36924,49.73078,-3.79222,28.58286,-22.97782,-5.87150,26.72769,-20.75547,-0.0257103,0.0504293,0.0272004,winding_short,67.677
68.127500,motor_3,66.16514,2942.12997,68.37310,47.93967,1.80229,-27.66857,24.10657,3.26292,-24.74448,21.03374,0.0135187,0.0284635,-0.0248990,winding_short,67.677
68.130000,motor_3,66.54503,2941.99529,68.37665,48.80158,-0.90305,26.96855,-24.94671,-1.66179,24.45271,-21.98363,0.0481223,0.0066902,-0.0138249,winding_short,67.677
