feature,importance
vibration_x_g_bp_peak,0.0331656648
rpm_std,0.0251826745
vibration_z_g_bp_impulse_factor,0.0247605073
vibration_x_g_bp_rms,0.0226237123
vibration_z_g_bp_crest_factor,0.0211618138
vibration_mag_bp_rms,0.0205997643
back_emf_rms_imbalance_ratio,0.0187395088
vibration_mag_bp_ptp,0.0175805010
vibration_z_g_fft_bandwidth_hz,0.0175797741
vibration_mag_bp_std,0.0172429315
rpm_range,0.0171502071
vibration_z_g_bp_peak,0.0163302675
vibration_mag_bp_peak,0.0152112546
vibration_z_g_kurtosis,0.0151720046
power_w_std,0.0148482662
vibration_x_g_ptp,0.0146188987
vibration_x_g_kurtosis,0.0144565738
phase_v_back_emf_v_mean,0.0143978203
power_w_slope,0.0143688500
vibration_xyz_rms_sum,0.0135831458
vibration_xy_ratio,0.0135368162
vibration_z_g_crest_factor,0.0131876236
vibration_x_g_bandpower_10_30hz,0.0131247336
electrical_mechanical_stress,0.0122890727
power_w_range,0.0122328986
vibration_mag_bp_mean,0.0122259802
vibration_mag_bp_bandpower_120_200hz,0.0119170476
vibration_z_g_bp_rms,0.0115813668
vibration_z_g_slope,0.0111808503
vibration_y_g_bp_shape_factor,0.0111092970
vibration_mag_bp_fft_dominant_amp,0.0105557869
vibration_y_g_bp_peak,0.0104216363
vibration_z_g_ptp,0.0103370635
vibration_z_g_dominant_to_shaft_ratio,0.0100665519
vibration_y_g_shape_factor,0.0100405765
vibration_x_g_std,0.0099130513
vibration_z_g_shape_factor,0.0096533369
vibration_mag_bp_bandpower_ratio_30_60hz,0.0094355245
vibration_x_g_peak,0.0092949994
back_emf_uv_delta,0.0091556713
vibration_mag_bp_shaft_harmonic_ratio,0.0091397849
vibration_y_g_bp_std,0.0090599822
vibration_y_g_impulse_factor,0.0088782386
vibration_y_g_fft_dominant_amp,0.0082623287
battery_current_a_std,0.0081324067
phase_v_current_a_max,0.0080094875
vibration_mag_bp_shaft_harmonic_power,0.0079337269
vibration_x_g_bp_kurtosis,0.0078054352
back_emf_vw_delta,0.0077775419
vibration_x_g_fft_bandwidth_hz,0.0075883257
phase_current_rms_imbalance_ratio,0.0074492137
temp_c_max,0.0074454753
vibration_mag_bp_skew,0.0073821340
vibration_y_g_rms,0.0072687304
phase_v_current_a_range,0.0070211373
vibration_x_g_shaft_harmonic_power,0.0068647615
vibration_y_g_bandpower_ratio_120_200hz,0.0065668340
vibration_x_g_bandpower_120_200hz,0.0065578295
vibration_z_g_bandpower_10_30hz,0.0064437573
vibration_y_g_ptp,0.0064009022
vibration_x_g_bp_std,0.0063922753
vibration_x_g_bp_skew,0.0061764706
phase_w_current_a_max,0.0061559974
back_emf_spread,0.0059015870
vibration_y_g_fft_total_power,0.0058645396
back_emf_imbalance_ratio,0.0056119969
vibration_x_g_fft_dominant_amp,0.0056051247
battery_voltage_v_mean,0.0055619210
vibration_z_g_bp_shape_factor,0.0055350606
vibration_x_g_bp_shape_factor,0.0055072457
phase_u_current_a_std,0.0053847338
vibration_x_g_mean,0.0052176670
temp_c_std,0.0052003187
phase_u_current_a_range,0.0051678820
vibration_z_g_bp_std,0.0051371539
temp_c_mean,0.0049808021
vibration_z_g_fft_total_power,0.0049587423
phase_u_back_emf_v_range,0.0049336510
vibration_x_g_bandpower_ratio_30_60hz,0.0049274877
vibration_x_g_bp_crest_factor,0.0049161798
vibration_y_g_bandpower_ratio_2_10hz,0.0048851914
vibration_x_g_bp_ptp,0.0048387097
vibration_y_g_crest_factor,0.0047628067
vibration_mag_bp_bandpower_10_30hz,0.0046956686
